obl_deg	time_y
25.2101429857562	0
25.0955514267301	-1000
24.9809598677039	-2000
24.8663683086777	-3000
24.7517767496516	-4000
24.6371851906254	-5000
24.5225936315992	-6000
24.4652978520862	-7000
24.35070629306	-8000
24.2934105135469	-9000
24.1788189545207	-10000
24.1215231750077	-11000
24.0069316159815	-12000
23.9496358364684	-13000
23.8923400569553	-14000
23.8350442774422	-15000
23.7777484979292	-16000
23.7204527184161	-17000
23.663156938903	-18000
23.6058611593899	-19000
23.5485653798768	-20000
23.4912696003638	-21000
23.4339738208507	-22000
23.3766780413376	-23000
23.3193822618245	-24000
23.2620864823114	-25000
23.2047907027983	-26000
23.1474949232853	-27000
23.0901991437722	-28000
23.0329033642591	-29000
23.0329033642591	-30000
22.975607584746	-31000
22.9183118052329	-32000
22.8610160257198	-33000
22.8037202462068	-34000
22.7464244666937	-35000
22.7464244666937	-36000
22.6891286871806	-37000
22.6318329076675	-38000
22.6318329076675	-39000
22.5745371281544	-40000
22.5745371281544	-41000
22.5745371281544	-42000
22.5745371281544	-43000
22.5172413486414	-44000
22.5172413486414	-45000
22.5172413486414	-46000
22.5745371281544	-47000
22.5745371281544	-48000
22.5745371281544	-49000
22.6318329076675	-50000
22.6318329076675	-51000
22.6891286871806	-52000
22.7464244666937	-53000
22.8037202462068	-54000
22.8610160257198	-55000
22.9183118052329	-56000
22.975607584746	-57000
23.0901991437722	-58000
23.2047907027983	-59000
23.2620864823114	-60000
23.3766780413376	-61000
23.4912696003638	-62000
23.6058611593899	-63000
23.7204527184161	-64000
23.8923400569553	-65000
24.0069316159815	-66000
24.1215231750077	-67000
24.2934105135469	-68000
24.4080020725731	-69000
24.5225936315992	-70000
24.6944809701385	-71000
24.8090725291646	-72000
24.9236640881908	-73000
25.0955514267301	-74000
25.2101429857562	-75000
25.3247345447824	-76000
25.4966218833216	-77000
25.6112134423478	-78000
25.725805001374	-79000
25.8403965604001	-80000
25.9549881194263	-81000
26.0695796784525	-82000
26.1268754579655	-83000
26.2414670169917	-84000
26.3560585760179	-85000
26.413354355531	-86000
26.470650135044	-87000
26.5279459145571	-88000
26.5852416940702	-89000
26.5852416940702	-90000
26.6425374735833	-91000
26.6425374735833	-92000
26.6425374735833	-93000
26.6425374735833	-94000
26.6425374735833	-95000
26.6425374735833	-96000
26.6425374735833	-97000
26.5852416940702	-98000
26.5279459145571	-99000
26.5279459145571	-100000
26.470650135044	-101000
26.413354355531	-102000
26.2987627965048	-103000
26.2414670169917	-104000
26.1841712374786	-105000
26.0695796784525	-106000
26.0122838989394	-107000
25.8976923399132	-108000
25.783100780887	-109000
25.6685092218609	-110000
25.5539176628347	-111000
25.4966218833216	-112000
25.3820303242955	-113000
25.2674387652693	-114000
25.1528472062431	-115000
25.038255647217	-116000
24.9236640881908	-117000
24.8663683086777	-118000
24.7517767496516	-119000
24.6371851906254	-120000
24.5798894111123	-121000
24.4652978520862	-122000
24.4080020725731	-123000
24.35070629306	-124000
24.2934105135469	-125000
24.2361147340338	-126000
24.1788189545207	-127000
24.1215231750077	-128000
24.0642273954946	-129000
24.0642273954946	-130000
24.0069316159815	-131000
24.0069316159815	-132000
24.0069316159815	-133000
24.0069316159815	-134000
24.0069316159815	-135000
24.0069316159815	-136000
24.0069316159815	-137000
24.0642273954946	-138000
24.0642273954946	-139000
24.1215231750077	-140000
24.1788189545207	-141000
24.2361147340338	-142000
24.2361147340338	-143000
24.2934105135469	-144000
24.35070629306	-145000
24.4080020725731	-146000
24.4652978520862	-147000
24.5225936315992	-148000
24.5798894111123	-149000
24.6371851906254	-150000
24.6944809701385	-151000
24.6944809701385	-152000
24.7517767496516	-153000
24.8090725291646	-154000
24.8090725291646	-155000
24.8663683086777	-156000
24.9236640881908	-157000
24.9236640881908	-158000
24.9236640881908	-159000
24.9236640881908	-160000
24.9236640881908	-161000
24.9236640881908	-162000
24.9236640881908	-163000
24.9236640881908	-164000
24.8663683086777	-165000
24.8663683086777	-166000
24.8090725291646	-167000
24.7517767496516	-168000
24.6944809701385	-169000
24.6371851906254	-170000
24.5798894111123	-171000
24.4652978520862	-172000
24.4080020725731	-173000
24.35070629306	-174000
24.2361147340338	-175000
24.1215231750077	-176000
24.0642273954946	-177000
23.9496358364684	-178000
23.8350442774422	-179000
23.7204527184161	-180000
23.6058611593899	-181000
23.4912696003638	-182000
23.3766780413376	-183000
23.2620864823114	-184000
23.1474949232853	-185000
23.0329033642591	-186000
22.9183118052329	-187000
22.8610160257198	-188000
22.7464244666937	-189000
22.6318329076675	-190000
22.5745371281544	-191000
22.4599455691283	-192000
22.4026497896152	-193000
22.3453540101021	-194000
22.288058230589	-195000
22.2307624510759	-196000
22.1734666715629	-197000
22.1734666715629	-198000
22.1161708920498	-199000
22.1161708920498	-200000
22.1161708920498	-201000
22.1161708920498	-202000
22.1161708920498	-203000
22.1161708920498	-204000
22.1734666715629	-205000
22.2307624510759	-206000
22.288058230589	-207000
22.3453540101021	-208000
22.4026497896152	-209000
22.4599455691283	-210000
22.5745371281544	-211000
22.6318329076675	-212000
22.7464244666937	-213000
22.8610160257198	-214000
22.975607584746	-215000
23.0901991437722	-216000
23.2047907027983	-217000
23.3193822618245	-218000
23.4339738208507	-219000
23.5485653798768	-220000
23.7204527184161	-221000
23.8350442774422	-222000
23.9496358364684	-223000
24.0642273954946	-224000
24.1788189545207	-225000
24.35070629306	-226000
24.4652978520862	-227000
24.5798894111123	-228000
24.6944809701385	-229000
24.8090725291646	-230000
24.9236640881908	-231000
25.038255647217	-232000
25.0955514267301	-233000
